PLAYER_NAME	FIRST_DAY	DURATION	STAGE	MATCH	MAP	TEAM	TEAM_NAME	TEAM_DURATION	TEAMMATE	FIRST_WIN	FIRST_WIN_TEAM	FIRST_WIN_MAP	MAP_DUPLICATE	MOST_MAP	HERO	MOST_HERO	HOUR	HERO_STAGE1	HERO_STAGE2	HERO_STAGE3	KILL	DATE_KILL	TEAM_KILL	MAP_KILL	COUNT_KILL	KILL_PLAYER	DEATH	DATE_DEATH	TEAM_DEATH	MAP_DEATH	COUNT_DEATH	DEATH_PLAYER	WORLD_TIME	WORLD_TEAM	WORLD_RESULT	LAST_DATE	LAST_TEAM	TEAM_TOTAL
BLX	9月6日	10	1	10	37	1	YNB ESPORTS	387.3	800, ALPHARI, SARA, WH4LE	9月6日	MILK TEA	萨摩亚	10	伊利奥斯 直布罗陀 苏拉瓦萨	6	无漾	220.8			无漾	96	10月11日	ZONES	新皇后街	7	FEIYANG M1RE	206	10月12日	MILK TEA	直布罗陀	11	GUXUE				10月12日	MILK TEA	YNB ESPORTS
CASANOVA	3月28日	4	1	4	9	1	TEAM XX	78.7	AESTER, ARGON, FEIYANG, UNKN0W	3月28日	SUPER LEVI	多拉多	6	埃斯佩兰萨	3	卡西迪	33.2	卡西迪			60	3月28日	SUPER LEVI	多拉多	13	JIMMY	60	3月30日	LITTLE SHEEP	哈瓦那	10	ALPHARI JIMMY				4月4日	ROC ESPORTS	TEAM XX
CCJPITY	5月24日	7	1	7	20	1	TEAM XX	211.8	PROYUNG	5月24日	ZONES	伊利奥斯	9	伊利奥斯	10	弗蕾娅	90.7		弗蕾娅		136	6月15日	LITTLE SHEEP	直布罗陀	21	EILEEN	164	5月24日	ZONES	新渣客城	14	RULER				6月22日	MILK TEA	TEAM XX
CHOISEHWAN	3月27日	6	1	6	23	1	ROC ESPORTS	241.2	BELOSREA, CHU, DIYA, LENGSA	3月27日	TEAM EQUAL	漓江塔	7	埃斯佩兰萨 漓江塔	5	猎空	143.9	猎空			179	3月30日	BLADE	漓江塔	18	FARI	134	4月6日	LITTLE SHEEP	漓江塔	12	FARI SHY				4月6日	LITTLE SHEEP	ROC ESPORTS
CHU	3月27日	27	3	27	99	1	ROC ESPORTS	1079.5	BELOSREA, LENGSA	3月27日	TEAM EQUAL	漓江塔	22	苏拉瓦萨	5	安娜	412.7	安娜	巴蒂斯特	雾子	301	3月30日	BLADE	漓江塔	12	PINEAPPLE	538	6月28日	ONCE AGAIN	皇家赛道	14	PINEAPPLE	1	VARREL	16强	10月11日	MILK TEA	ROC ESPORTS
FAMIGLISTIMO	3月27日	27	3	27	99	1	ROC ESPORTS	1079.5	BELOSREA, LENGSA	3月27日	TEAM EQUAL	漓江塔	22	苏拉瓦萨	5	安娜	412.7	安娜	巴蒂斯特	雾子	301	3月30日	BLADE	漓江塔	12	PINEAPPLE	538	6月28日	ONCE AGAIN	皇家赛道	14	PINEAPPLE	1	VARREL	16强	10月11日	MILK TEA	ROC ESPORTS
CHAMOMILE	3月27日	27	3	27	99	1	ROC ESPORTS	1079.5	BELOSREA, LENGSA	3月27日	TEAM EQUAL	漓江塔	22	苏拉瓦萨	5	安娜	412.7	安娜	巴蒂斯特	雾子	301	3月30日	BLADE	漓江塔	12	PINEAPPLE	538	6月28日	ONCE AGAIN	皇家赛道	14	PINEAPPLE	1	VARREL	16强	10月11日	MILK TEA	ROC ESPORTS
DECADE	5月24日	5	1	5	15	1	TEAM XX	153.9	CCJPITY, PROYUNG	6月22日	MILK TEA	伊利奥斯	8	新渣客城	8	朱诺	41.9		朱诺		42	5月24日	ZONES	新渣客城	14	PARD0N	128	5月24日	ZONES	新渣客城	14	WEN				6月22日	MILK TEA	TEAM XX
DIYA	3月27日	18	2	18	60	1	ROC ESPORTS	679.1	BELOSREA, LENGSA	3月27日	TEAM EQUAL	漓江塔	17	皇家赛道	8	弗蕾娅	280.4	卡西迪	弗蕾娅		554	5月24日	TEAM CC	好莱坞	19	FARWAY2025	371	6月14日	ONCE AGAIN	皇家赛道	14	PINEAPPLE	1	VARREL	16强	8月1日	VARREL	ROC ESPORTS
DMS	3月28日	5	2	5	7	2	MDY	42.0	M1NUT2, VERDE	3月30日	TEAM XX	漓江塔	5	漓江塔	5	卢西奥	33.1	卢西奥		卢西奥	12	4月6日	ROC ESPORTS	漓江塔	5	CHU	57	9月14日	ZONES	阿特利斯	14	CHU FLORA				9月20日	ROC ESPORTS	LITTLE SHEEP和MDY
